iata,name,city,state,country,latitude,longitude
South Lake Tahoe,South Lake Tahoe,South Lake Tahoe,South Lake Tahoe,South Lake Tahoe,38.8479,-120.0139
Bothell,Bothell,Bothell,Bothell,Bothell,47.7477,-122.2044
Lewiston,Lewiston,Lewiston,Lewiston,Lewiston,46.1683,-116.9204
Indio,Indio,Indio,Indio,Indio,33.7206,-116.2156
Carlsbad,Carlsbad,Carlsbad,Carlsbad,Carlsbad,33.1357,-117.3019
Fort Collins,Fort Collins,Fort Collins,Fort Collins,Fort Collins,40.6736,-104.9434
Malibu,Malibu,Malibu,Malibu,Malibu,34.0697,-118.8177
"Sechelt, BC","Sechelt, BC","Sechelt, BC","Sechelt, BC","Sechelt, BC",49.4667,-123.7667
Vashon,Vashon,Vashon,Vashon,Vashon,47.4206,-122.4509
Theodore,Theodore,Theodore,Theodore,Theodore,30.5035,-88.1432
Compton,Compton,Compton,Compton,Compton,33.8959,-118.2201
"Colonsay, SK","Colonsay, SK","Colonsay, SK","Colonsay, SK","Colonsay, SK",51.9667,-105.8667
Sylmar,Sylmar,Sylmar,Sylmar,Sylmar,34.3078,-118.4493
Orlando,Orlando,Orlando,Orlando,Orlando,28.4517,-81.4653
Denver,Denver,Denver,Denver,Denver,39.6762,-104.887
Algonquin,Algonquin,Algonquin,Algonquin,Algonquin,42.1617,-88.3285
Perris,Perris,Perris,Perris,Perris,33.7825,-117.2287
Sebastopol,Sebastopol,Sebastopol,Sebastopol,Sebastopol,38.4032,-122.8633
San Marcos,San Marcos,San Marcos,San Marcos,San Marcos,33.1434,-117.1661
"Parksville, BC","Parksville, BC","Parksville, BC","Parksville, BC","Parksville, BC",49.3233,-124.3227
Streamwood,Streamwood,Streamwood,Streamwood,Streamwood,42.0209,-88.1782
"Comox, BC","Comox, BC","Comox, BC","Comox, BC","Comox, BC",49.6728,-124.947
"Happy Valley, NL","Happy Valley, NL","Happy Valley, NL","Happy Valley, NL","Happy Valley, NL",53.3,-60.3
Lombard,Lombard,Lombard,Lombard,Lombard,41.878,-88.0163
Martinsville,Martinsville,Martinsville,Martinsville,Martinsville,36.7266,-79.8667
Sioux City,Sioux City,Sioux City,Sioux City,Sioux City,42.5237,-96.4363
Metairie,Metairie,Metairie,Metairie,Metairie,29.9841,-90.1529
Fallbrook,Fallbrook,Fallbrook,Fallbrook,Fallbrook,33.3989,-117.2957
South Yarmouth,South Yarmouth,South Yarmouth,South Yarmouth,South Yarmouth,41.6713,-70.1916
Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,41.4737,-81.5798
Moreno Valley,Moreno Valley,Moreno Valley,Moreno Valley,Moreno Valley,33.9224,-117.2476
Burbank,Burbank,Burbank,Burbank,Burbank,34.1767,-118.3105
Evanston,Evanston,Evanston,Evanston,Evanston,42.0562,-87.7011
Yorba Linda,Yorba Linda,Yorba Linda,Yorba Linda,Yorba Linda,33.8924,-117.7879
Overland Park,Overland Park,Overland Park,Overland Park,Overland Park,38.8998,-94.7052
Marietta,Marietta,Marietta,Marietta,Marietta,33.9526,-84.5499
Buffalo Grove,Buffalo Grove,Buffalo Grove,Buffalo Grove,Buffalo Grove,42.1695,-87.9588
Playa Del Rey,Playa Del Rey,Playa Del Rey,Playa Del Rey,Playa Del Rey,33.9454,-118.4398
